date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,21.29,21.9,21.04,21.86,21.04,0.8200000000000003,3.9,15730799.0,82296414.9,4.094,0.019434,0.019434,1.38,11.3796,7.0927,0.884,0.7261,0.663,0.020389,0.020389,2062045941.0,809468104.0,809468104.0,11011325325.0,4322559675.0,造纸,轻工制造,造纸,大宗用纸,5.65,4.63,
2009-01-06,21.74,22.89,21.53,22.8,21.86,0.9400000000000012,4.3,23796504.0,129650808.5,4.094,0.029398,0.029398,2.02,11.8697,7.3982,0.922,0.7574,0.6916,0.019547,0.019547,2062045941.0,809468104.0,809468104.0,11485595891.0,4508737339.0,造纸,轻工制造,造纸,大宗用纸,5.87,4.81,
2009-01-07,22.89,23.01,22.48,22.6,22.8,-0.1999999999999993,-0.88,18559648.0,102860175.5,4.094,0.022928,0.022928,1.29,11.7632,7.3318,0.9138,0.7506,0.6854,0.019724,0.019724,2062045941.0,809468104.0,809468104.0,11382493594.0,4468263934.0,造纸,轻工制造,造纸,大宗用纸,6.13,5.01,
2009-01-08,22.03,22.23,21.49,21.78,22.6,-0.8200000000000003,-3.63,13558909.0,72412536.8,4.094,0.01675,0.01675,0.86,11.337,7.0661,0.8807,0.7234,0.6606,0.020466,0.020466,2062045941.0,809468104.0,809468104.0,10970084406.0,4306370313.0,造纸,轻工制造,造纸,大宗用纸,6.07,4.97,
2009-01-09,21.66,22.6,21.66,22.48,21.78,0.6999999999999993,3.21,15083357.0,82058981.10000001,4.094,0.0186339999999999,0.0186339999999999,0.92,11.6993,7.2919,0.9088,0.7465,0.6817,0.019832,0.019832,2062045941.0,809468104.0,809468104.0,11320632216.0,4443979891.0,造纸,轻工制造,造纸,大宗用纸,5.85,4.79,
2009-01-12,22.35,23.95,22.31,23.25,22.48,0.7699999999999996,3.43,28641650.0,162339237.0,4.094,0.035383,0.035383,1.65,12.1042,7.5443,0.9403,0.7723,0.7053,0.019169,0.019169,2062045941.0,809468104.0,809468104.0,11712420944.999998,4597778831.0,造纸,轻工制造,造纸,大宗用纸,6.04,4.94,
2009-01-13,22.72,23.13,22.27,22.35,23.25,-0.8999999999999986,-3.87,14379778.0,79594280.7,4.094,0.017764,0.017764,0.72,11.6353,7.2521,0.9038,0.7424,0.6779,0.019941,0.019941,2062045941.0,809468104.0,809468104.0,11258770838.0,4419695848.0,造纸,轻工制造,造纸,大宗用纸,6.25,5.11,
2009-01-14,22.23,23.54,22.15,23.38,22.35,1.0299999999999976,4.61,21286941.0,118964134.3,4.094,0.026297,0.026297,1.18,12.1681,7.5841,0.9452,0.7764,0.709,0.019068,0.019068,2062045941.0,809468104.0,809468104.0,11774282323.0,4622062874.0,造纸,轻工制造,造纸,大宗用纸,6.01,4.91,
2009-01-15,23.01,23.83,22.89,23.46,23.38,0.0800000000000018,0.34,26726914.0,152498101.0,4.094,0.033018,0.033018,1.44,12.2107,7.6107,0.9485,0.7791,0.7115,0.0190019999999999,0.0190019999999999,2062045941.0,809468104.0,809468104.0,11815523242.0,4638252236.0,造纸,轻工制造,造纸,大宗用纸,6.28,5.14,
2009-01-16,23.62,24.44,23.54,23.87,23.46,0.4100000000000001,1.75,32691905.0,192684367.7,4.094,0.040387,0.040387,1.54,12.4238,7.7435,0.9651,0.7927,0.7239,0.0186759999999999,0.0186759999999999,2062045941.0,809468104.0,809468104.0,12021727836.0,4719199046.0,造纸,轻工制造,造纸,大宗用纸,6.3,5.16,
2009-01-19,24.07,24.44,23.62,23.99,23.87,0.1199999999999974,0.5,24806087.0,145587388.79999998,4.094,0.030645,0.030645,1.0,12.4877,7.7834,0.9701,0.7968,0.7276,0.01858,0.01858,2062045941.0,809468104.0,809468104.0,12083589214.000002,4743483089.0,造纸,轻工制造,造纸,大宗用纸,6.41,5.25,
2009-01-20,23.99,24.03,23.34,23.75,23.99,-0.2399999999999984,-1.0,12688181.0,73417574.9,4.094,0.0156749999999999,0.0156749999999999,0.53,12.3599,7.7037,0.9601,0.7887,0.7202,0.018772,0.018772,2062045941.0,809468104.0,809468104.0,11959866458.0,4694915003.0,造纸,轻工制造,造纸,大宗用纸,6.45,5.27,
2009-01-21,23.46,24.2,23.29,23.83,23.75,0.0799999999999983,0.34,15278509.0,88802994.39999999,4.094,0.018875,0.018875,0.65,12.4025,7.7302,0.9634,0.7914,0.7226,0.018708,0.018708,2062045941.0,809468104.0,809468104.0,12001107377.0,4711104365.0,造纸,轻工制造,造纸,大宗用纸,6.38,5.22,
2009-01-22,24.07,24.28,23.79,24.24,23.83,0.4100000000000001,1.72,18353045.0,107860899.7,4.094,0.022673,0.022673,0.82,12.6156,7.8631,0.98,0.805,0.735,0.018392,0.018392,2062045941.0,809468104.0,809468104.0,12207311971.0,4792051176.0,造纸,轻工制造,造纸,大宗用纸,6.4,5.24,
2009-01-23,24.2,24.73,23.87,24.52,24.24,0.2800000000000011,1.16,24417360.0,145784355.29999998,4.094,0.030165,0.030165,1.18,12.7648,7.956,0.9916,0.8145,0.7437,0.018177,0.018177,2062045941.0,809468104.0,809468104.0,12351655186.999998,4848713943.0,造纸,轻工制造,造纸,大宗用纸,6.51,5.33,
2009-02-02,24.69,25.38,24.48,25.18,24.52,0.6600000000000001,2.69,26866755.0,164083396.10000002,4.094,0.033191,0.033191,1.41,13.1057,8.1685,1.0181,0.8363,0.7636,0.017704,0.017704,2062045941.0,809468104.0,809468104.0,12681582537.0,4978228840.0,造纸,轻工制造,造纸,大宗用纸,6.59,5.39,
2009-02-03,25.14,27.23,24.97,26.69,25.18,1.5100000000000016,6.0,61245835.0,398374956.9,4.094,0.075662,0.075662,3.14,13.8942,8.66,1.0793,0.8866,0.8095,0.016699,0.016699,2062045941.0,809468104.0,809468104.0,13444539535.0,5277732038.0,造纸,轻工制造,造纸,大宗用纸,6.77,5.54,
2009-02-04,27.06,29.35,27.06,29.31,26.69,2.619999999999997,9.82,69710521.0,483436554.4,4.094,0.086119,0.086119,2.38,15.2581,9.51,1.1853,0.9736,0.889,0.015207,0.015207,2062045941.0,809468104.0,809468104.0,14764248938.0,5795791625.0,造纸,轻工制造,造纸,大宗用纸,7.17,5.87,
2009-02-05,29.07,29.39,27.72,28.08,29.31,-1.2300000000000004,-4.2,49178530.0,343209695.5,4.094,0.060754,0.060754,1.23,14.6188,9.1116,1.1356,0.9328,0.8518,0.015872,0.015872,2062045941.0,809468104.0,809468104.0,14145635155.0,5552951193.0,造纸,轻工制造,造纸,大宗用纸,7.88,6.44,
2009-02-06,28.08,30.38,28.08,30.25,28.08,2.1700000000000017,7.73,42335546.0,301033923.20000005,4.094,0.0523,0.0523,0.91,15.7482,9.8155,1.2233,1.0049,0.9176,0.014733,0.014733,2062045941.0,809468104.0,809468104.0,15238519504.0,5981969289.000001,造纸,轻工制造,造纸,大宗用纸,7.55,6.17,
2009-02-09,30.71,30.91,29.23,30.34,30.25,0.0899999999999998,0.3,54057441.0,397090967.3,4.094,0.066781,0.066781,1.08,15.7908,9.8421,1.2266,1.0076,0.9201,0.014694,0.014694,2062045941.0,809468104.0,809468104.0,15279760423.0,5998158651.000001,造纸,轻工制造,造纸,大宗用纸,8.13,6.65,
2009-02-10,30.01,30.3,28.99,30.21,30.34,-0.129999999999999,-0.43,47750192.0,345307717.2,4.094,0.05899,0.05899,0.86,15.7269,9.8023,1.2217,1.0035,0.9163,0.014753,0.014753,2062045941.0,809468104.0,809468104.0,15217899045.0,5973874608.0,造纸,轻工制造,造纸,大宗用纸,8.15,6.67,
2009-02-11,29.56,31.2,29.23,30.38,30.21,0.1699999999999981,0.56,59390788.0,441570053.7,4.094,0.0733699999999999,0.0733699999999999,1.13,15.8121,9.8554,1.2283,1.0089,0.9213,0.014674,0.014674,2062045941.0,809468104.0,809468104.0,15300380882.000002,6006253332.0,造纸,轻工制造,造纸,大宗用纸,8.12,6.64,
