date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,35.33,36.33,35.16,36.25,34.66,1.5900000000000034,4.59,2908118.0,12423674.7,8.371,0.007889,0.007909,0.98,5.3698,9.8983,1.1365,0.2909,0.2547,0.092379,0.092379,879518521.0,368646949.0,367687209.0,3808315196.0,1596241289.0,元器件,电子,消费电子,消费电子零部件及组装,4.55,3.73,
2009-01-06,36.16,37.5,35.83,37.5,36.25,1.25,3.45,4449658.0,19569755.5,8.371,0.01207,0.012102,1.64,5.5559,10.2412,1.1758,0.3009,0.2635,0.0892859999999999,0.0892859999999999,879518521.0,368646949.0,367687209.0,3940242974.0,1651538332.0,元器件,电子,消费电子,消费电子零部件及组装,4.76,3.9,
2009-01-07,37.5,37.84,37.08,37.59,37.5,0.0900000000000034,0.24,3961763.0,17750279.299999997,8.371,0.010747,0.010775,1.26,5.5683,10.2641,1.1785,0.3016,0.2641,0.089087,0.089087,879518521.0,368646949.0,367687209.0,3949038159.0,1655224800.9999998,元器件,电子,消费电子,消费电子零部件及组装,4.93,4.03,
2009-01-08,36.92,37.0,35.83,36.66,37.59,-0.9300000000000068,-2.47,4361402.0,19004954.9,8.371,0.011831,0.011862,1.34,5.4318,10.0126,1.1496,0.2942,0.2577,0.091324,0.091324,879518521.0,368646949.0,367687209.0,3852291122.0,1614673636.9999998,元器件,电子,消费电子,消费电子零部件及组装,4.94,4.04,
2009-01-09,36.58,37.67,36.5,37.5,36.66,0.8400000000000034,2.29,4223989.0,18782300.7,8.371,0.011458,0.011488,1.17,5.5559,10.2412,1.1758,0.3009,0.2635,0.0892859999999999,0.0892859999999999,879518521.0,368646949.0,367687209.0,3940242974.0,1651538332.0,元器件,电子,消费电子,消费电子零部件及组装,4.82,3.94,
2009-01-12,37.42,39.18,36.58,38.09,37.5,0.5900000000000034,1.57,5926748.0,26929150.1,8.371,0.0160769999999999,0.016119,1.49,5.6427,10.4012,1.1942,0.3056,0.2677,0.087912,0.087912,879518521.0,368646949.0,367687209.0,4001809271.0,1677343618.0000002,元器件,电子,消费电子,消费电子零部件及组装,4.93,4.03,
2009-01-13,37.67,37.67,36.83,36.83,38.09,-1.2600000000000051,-3.31,3248337.0,14403460.7,8.371,0.008812,0.0088349999999999,0.71,5.4567,10.0583,1.1548,0.2956,0.2588,0.0909089999999999,0.0909089999999999,879518521.0,368646949.0,367687209.0,3869881492.0,1622046576.0,元器件,电子,消费电子,消费电子零部件及组装,5.01,4.1,
2009-01-14,36.92,38.42,36.66,38.17,36.83,1.3400000000000034,3.64,4149205.000000001,18696199.8,8.371,0.011255,0.011285,0.96,5.6551,10.4241,1.1968,0.3063,0.2683,0.087719,0.087719,879518521.0,368646949.0,367687209.0,4010604456.0,1681030087.0,元器件,电子,消费电子,消费电子零部件及组装,4.84,3.96,
2009-01-15,37.59,40.35,37.42,40.26,38.17,2.0899999999999963,5.48,11721238.0,55209581.7,8.371,0.031795,0.031878,2.67,5.9651,10.9956,1.2624,0.3231,0.283,0.08316,0.08316,879518521.0,368646949.0,367687209.0,4230484086.000001,1773191825.0,元器件,电子,消费电子,消费电子零部件及组装,5.02,4.1,
2009-01-16,40.52,41.27,40.01,40.18,40.26,-0.0799999999999983,-0.2,13710434.0,66537387.3,8.371,0.037191,0.037288,2.34,5.9527,10.9727,1.2598,0.3224,0.2824,0.0833329999999999,0.0833329999999999,879518521.0,368646949.0,367687209.0,4221688901.0,1769505355.0,元器件,电子,消费电子,消费电子零部件及组装,5.29,4.33,
2009-01-19,40.43,40.77,39.43,40.01,40.18,-0.1700000000000017,-0.42,6623225.999999999,31721757.9,8.371,0.017966,0.0180129999999999,0.85,5.9279,10.927,1.2546,0.3211,0.2812,0.0836819999999999,0.0836819999999999,879518521.0,368646949.0,367687209.0,4204098530.0,1762132416.0,元器件,电子,消费电子,消费电子零部件及组装,5.28,4.32,
2009-01-20,39.85,40.26,39.18,39.93,40.01,-0.0799999999999983,-0.2,4235801.0,20083625.0,8.371,0.01149,0.0115199999999999,0.54,5.9155,10.9041,1.2519,0.3204,0.2806,0.083857,0.083857,879518521.0,368646949.0,367687209.0,4195303345.0,1758445946.9999998,元器件,电子,消费电子,消费电子零部件及组装,5.26,4.3,
2009-01-21,39.43,40.6,39.18,40.52,39.93,0.5900000000000034,1.48,5331066.0,25456102.8,8.371,0.014461,0.014499,0.66,6.0023,11.0642,1.2703,0.3251,0.2847,0.082645,0.082645,879518521.0,368646949.0,367687209.0,4256869642.0,1784251233.0,元器件,电子,消费电子,消费电子零部件及组装,5.25,4.29,
2009-01-22,40.6,41.35,40.35,40.85,40.52,0.3299999999999983,0.81,5267020.0,25671633.5,8.371,0.014287,0.014325,0.63,6.0519,11.1556,1.2808,0.3278,0.2871,0.081967,0.081967,879518521.0,368646949.0,367687209.0,4292050382.0,1798997110.9999998,元器件,电子,消费电子,消费电子零部件及组装,5.32,4.36,
