date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,92.68,94.08,90.59,93.03,90.47,2.5600000000000023,2.83,6371565.0,101707018.6,5.818,0.0168019999999999,0.018226,5.46,352.5666,82.3896,6.9529,2.6684,2.4948,0.0037519999999999,0.0037519999999999,545087620.0,379216227.0,349577860.0,8715951044.0,6063667470.0,工程机械,机械设备,工程机械,工程机械整机,17.11,14.0,
2009-01-06,92.51,102.34,91.46,102.34,93.03,9.310000000000002,10.01,4587929.0,78959214.0,5.818,0.012098,0.013124,2.11,387.8454,90.6337,7.6487,2.9354,2.7444,0.003411,0.003411,545087620.0,379216227.0,349577860.0,9588091236.0,6670413432.999999,工程机械,机械设备,工程机械,工程机械整机,17.59,14.39,
2009-01-07,103.56,106.47,102.57,104.43,102.34,2.0900000000000034,2.04,4617818.0,82990749.6,5.818,0.012177,0.01321,1.58,395.7831,92.4886,7.8052,2.9955,2.8006,0.003343,0.003343,545087620.0,379216227.0,349577860.0,9784322779.0,6806931274.999999,工程机械,机械设备,工程机械,工程机械整机,19.35,15.83,
2009-01-08,102.11,104.84,100.07,103.15,104.43,-1.2800000000000011,-1.23,2270638.0,40256872.4,5.818,0.005988,0.006495,0.65,390.9322,91.3551,7.7095,2.9588,2.7663,0.003384,0.003384,545087620.0,379216227.0,349577860.0,9664403503.0,6723503705.0,工程机械,机械设备,工程机械,工程机械整机,19.75,16.16,
2009-01-09,103.15,105.6,101.64,104.72,103.15,1.5699999999999932,1.52,2426739.0,43473355.5,5.818,0.005595,0.006942,0.64,396.8855,92.7463,7.827,3.0039,2.8084,0.003333,0.003333,545087620.0,433724989.0,349577860.0,9811577160.0,7807049802.0,工程机械,机械设备,工程机械,工程机械整机,19.5,15.96,
2009-01-12,103.56,108.56,102.4,105.89,104.72,1.1700000000000017,1.12,3541533.0,64797330.2,5.818,0.008165,0.010131,0.87,401.2954,93.7768,7.9139,3.0372,2.8396,0.003297,0.003297,545087620.0,433724989.0,349577860.0,9920594684.0,7893794800.0,工程机械,机械设备,工程机械,工程机械整机,19.8,16.2,
2009-01-13,104.61,105.6,100.65,102.28,105.89,-3.61,-3.41,1255789.0,22240116.2,5.818,0.002895,0.003592,0.36,387.6249,90.5822,7.6443,2.9338,2.7429,0.003413,0.003413,545087620.0,433724989.0,349577860.0,9582640360.0,7624885307.0,工程机械,机械设备,工程机械,工程机械整机,20.02,16.38,
2009-01-14,102.34,106.12,101.7,106.0,102.28,3.719999999999999,3.64,1661095.0,29862105.8,5.818,0.00383,0.004752,0.59,401.7363,93.8798,7.9226,3.0406,2.8427,0.003293,0.003293,545087620.0,433724989.0,349577860.0,9931496436.0,7902469300.000001,工程机械,机械设备,工程机械,工程机械整机,19.34,15.82,
2009-01-15,105.89,109.55,104.03,107.05,106.0,1.0499999999999972,0.99,2621508.0,48777883.9,5.818,0.006044,0.007499,1.17,405.7052,94.8073,8.0009,3.0706,2.8708,0.003261,0.003261,545087620.0,433724989.0,349577860.0,10029612208.0,7980539798.0,工程机械,机械设备,工程机械,工程机械整机,20.04,16.4,
2009-01-16,105.95,111.88,105.95,107.69,107.05,0.6400000000000006,0.6,4294835.0,81775672.69999999,5.818,0.009902,0.0122859999999999,1.87,408.1306,95.3741,8.0487,3.089,2.888,0.003241,0.003241,545087620.0,433724989.0,349577860.0,10089571846.0,8028249546.000001,工程机械,机械设备,工程机械,工程机械整机,20.24,16.56,
