date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,6.48,6.6,6.46,6.6,6.37,0.2299999999999995,3.61,2932766.0,9107547.2,2.103,0.017046,0.018743,0.76,517.9445,,2.2658,3.0661,3.1838,0.0,,311573901.0,172049402.99999997,156470708.0,978342049.0,540235125.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.33,2.73,
2009-01-06,6.58,7.09,6.52,7.07,6.6,0.4700000000000006,7.12,6394895.0,20903949.2,2.103,0.037169,0.04087,1.99,554.2336,,2.4245,3.2809,3.4069,0.0,,311573901.0,172049402.99999997,156470708.0,1046888307.0,578085994.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.45,2.83,
2009-01-07,7.02,7.11,6.86,7.07,7.07,0.0,0.0,4348017.0,14414257.4,2.103,0.025272,0.027788,1.08,554.2336,,2.4245,3.2809,3.4069,0.0,,311573901.0,172049402.99999997,156470708.0,1046888307.0,578085994.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.7,3.02,
2009-01-08,6.94,7.17,6.69,7.11,7.07,0.04,0.57,7540437.0,25025975.4,2.103,0.043827,0.048191,1.8,557.5326,,2.4389,3.3004,3.4271,0.0,,311573901.0,172049402.99999997,156470708.0,1053119785.0,581526982.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.7,3.02,
2009-01-09,7.19,7.34,7.07,7.15,7.11,0.04,0.56,9951925.0,34011689.8,2.103,0.057843,0.0636019999999999,2.0,560.8316,,2.4534,3.32,3.4474,0.0,,311573901.0,172049402.99999997,156470708.0,1059351263.0,584967970.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.72,3.04,
2009-01-12,7.17,7.28,7.05,7.15,7.15,0.0,0.0,6818233.0,23173310.700000003,2.103,0.03963,0.043575,1.09,560.8316,,2.4534,3.32,3.4474,0.0,,311573901.0,172049402.99999997,156470708.0,1059351263.0,584967970.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.74,3.06,
2009-01-13,7.02,7.02,6.81,6.83,7.15,-0.3200000000000003,-4.48,4162939.0,13672411.1,2.103,0.024196,0.026605,0.59,536.0891,,2.3451,3.1735,3.2953,0.0,,311573901.0,172049402.99999997,156470708.0,1012615178.0,559160560.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.74,3.06,
2009-01-14,6.75,7.07,6.75,7.05,6.83,0.2199999999999997,3.22,3216604.0,10639809.5,2.103,0.018696,0.020557,0.49,552.5841,,2.4173,3.2711,3.3967,0.0,,311573901.0,172049402.99999997,156470708.0,1043772568.0,576365500.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.58,2.93,
2009-01-15,7.07,7.4,7.02,7.17,7.05,0.1200000000000001,1.7,7181056.0,24645676.200000003,2.103,0.041738,0.045894,1.13,562.4811,,2.4606,3.3297,3.4576,0.0,,311573901.0,172049402.99999997,156470708.0,1062467002.0,586688464.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.69,3.02,
2009-01-16,7.19,7.36,7.15,7.19,7.17,0.0200000000000004,0.28,5107568.0,17644443.7,2.103,0.029687,0.032642,0.82,564.1306,,2.4678,3.3395,3.4677,0.0,,311573901.0,172049402.99999997,156470708.0,1065582741.0,588408958.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.75,3.07,
2009-01-19,7.21,7.32,6.94,7.07,7.19,-0.1200000000000001,-1.67,3566362.0000000005,12096558.1,2.103,0.020729,0.022793,0.67,554.2336,,2.4245,3.2809,3.4069,0.0,,311573901.0,172049402.99999997,156470708.0,1046888307.0,578085994.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.76,3.08,
2009-01-20,7.07,7.42,6.98,7.36,7.07,0.29,4.1,5026484.0,17221120.900000002,2.103,0.029215,0.032124,1.08,577.3267,,2.5255,3.4176,3.5488,0.0,,311573901.0,172049402.99999997,156470708.0,1090508654.0,602172911.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.7,3.02,
2009-01-21,7.42,7.74,7.28,7.63,7.36,0.2699999999999996,3.67,13456472.0,48306615.400000006,2.103,0.078213,0.086,2.79,598.7702,,2.6193,3.5445,3.6806,0.0,,311573901.0,172049402.99999997,156470708.0,1131013261.0,624539333.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.85,3.15,
2009-01-22,7.51,7.63,7.4,7.51,7.63,-0.1200000000000001,-1.57,5864083.0,20913809.1,2.103,0.0340839999999999,0.037477,0.85,588.8732,,2.576,3.486,3.6198,0.0,,311573901.0,172049402.99999997,156470708.0,1112318827.0,614216369.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.99,3.27,
2009-01-23,7.44,7.51,7.17,7.3,7.51,-0.2099999999999999,-2.8,5797745.0,20081129.700000003,2.103,0.033698,0.0370529999999999,0.88,572.3782,,2.5039,3.3883,3.5184,0.0,,311573901.0,172049402.99999997,156470708.0,1081161436.0,597011428.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.93,3.21,
2009-02-02,7.34,7.87,7.19,7.74,7.3,0.4400000000000004,6.03,6751037.0,24077105.200000003,2.103,0.039239,0.043146,1.0,607.0178,,2.6554,3.5934,3.7313,0.0,,311573901.0,172049402.99999997,156470708.0,1146591956.0,633141803.0,医疗保健,医药生物,医疗服务,其他医疗服务,3.82,3.12,
2009-02-03,7.63,7.84,7.59,7.84,7.74,0.0999999999999996,1.29,9206807.0,33958572.0,2.103,0.053513,0.05884,1.25,615.2653,,2.6915,3.6422,3.782,0.0,,311573901.0,172049402.99999997,156470708.0,1162170651.0,641744273.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.05,3.31,
2009-02-04,7.91,8.29,7.7,8.1,7.84,0.2599999999999998,3.32,10373695.0,39291868.2,2.103,0.0602949999999999,0.066298,1.26,635.0594,,2.7781,3.7594,3.9037,0.0,,311573901.0,172049402.99999997,156470708.0,1199559519.0,662390202.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.1,3.36,
2009-02-05,8.03,8.33,7.8,7.87,8.1,-0.2299999999999995,-2.84,10153420.0,38975065.6,2.103,0.059015,0.06489,1.34,616.9148,,2.6987,3.652,3.7922,0.0,,311573901.0,172049402.99999997,156470708.0,1165286390.0,643464767.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.24,3.47,
2009-02-06,7.87,8.54,7.87,8.35,7.87,0.4799999999999995,6.1,12635564.0,49694444.5,2.103,0.073441,0.080754,1.49,654.8534,,2.8647,3.8765,4.0254,0.0,,311573901.0,172049402.99999997,156470708.0,1236948387.0,683036130.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.11,3.37,
2009-02-09,8.41,9.0,8.26,8.92,8.35,0.5700000000000003,6.83,14721624.0,60582062.3,2.103,0.0784619999999999,0.094085,1.5,699.39,,3.0595,4.1402,4.2991,0.0,,311573901.0,187628098.0,156470708.0,1321073340.0,795543136.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.37,3.57,
2009-02-10,8.75,9.13,8.56,9.08,8.92,0.1600000000000001,1.79,14122525.0,58934330.2,2.103,0.075269,0.090257,1.24,712.5861,,3.1172,4.2183,4.3802,0.0,,311573901.0,187628098.0,156470708.0,1345999252.0,810553383.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.66,3.82,
2009-02-11,8.98,9.57,8.75,9.0,9.08,-0.08,-0.88,16369103.0,71327851.4,2.103,0.087242,0.104614,1.32,705.9881,,3.0884,4.1792,4.3397,0.0,,311573901.0,187628098.0,156470708.0,1333536295.9999998,803048259.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.75,3.89,
2009-02-12,8.98,9.17,8.52,9.11,9.0,0.1099999999999994,1.22,11156516.0,46980060.3,2.103,0.059461,0.071301,0.82,714.2356,,3.1244,4.2281,4.3904,0.0,,311573901.0,187628098.0,156470708.0,1349114990.9999998,812429664.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.71,3.85,
2009-02-13,9.04,9.82,8.96,9.61,9.11,0.5,5.49,14731973.000000002,65988273.6,2.103,0.078517,0.094152,1.07,753.8237,,3.2976,4.4624,4.6337,0.0,,311573901.0,187628098.0,156470708.0,1423892728.0,857460408.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.76,3.9,
2009-02-16,9.67,10.18,9.38,9.97,9.61,0.3600000000000012,3.75,12773384.0,58938229.5,2.103,0.068078,0.081634,0.9,781.8653,,3.4203,4.6284,4.8061,0.0,,311573901.0,187628098.0,156470708.0,1476860291.0000002,889357185.0,医疗保健,医药生物,医疗服务,其他医疗服务,5.03,4.11,
2009-02-17,9.93,10.73,9.69,10.16,9.97,0.1899999999999995,1.91,18838914.0,92188006.0,2.103,0.100406,0.1203989999999999,1.36,796.7108,,3.4852,4.7163,4.8974,0.0,,311573901.0,187628098.0,156470708.0,1504901942.0,906243713.0,医疗保健,医药生物,医疗服务,其他医疗服务,5.21,4.27,
2009-02-18,9.93,10.14,9.19,9.21,10.16,-0.9499999999999992,-9.35,11627112.0,53421038.7,2.103,0.061969,0.074309,0.79,722.4831,,3.1605,4.2769,4.4411,0.0,,311573901.0,187628098.0,156470708.0,1364693685.9999998,821811069.0,医疗保健,医药生物,医疗服务,其他医疗服务,5.31,4.35,
2009-02-19,9.36,9.55,8.94,9.15,9.21,-0.0600000000000005,-0.65,7272491.0,31971417.9,2.103,0.0387599999999999,0.046478,0.53,717.5346,,3.1389,4.2476,4.4107,0.0,,311573901.0,187628098.0,156470708.0,1355346469.0,816182225.9999999,医疗保健,医药生物,医疗服务,其他医疗服务,4.82,3.94,
2009-02-20,9.25,9.55,9.04,9.55,9.15,0.4000000000000003,4.37,6047169.0,26892762.1,2.103,0.03223,0.038647,0.46,748.8752,,3.276,4.4331,4.6033,0.0,,311573901.0,187628098.0,156470708.0,1414545511.0,851831565.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.79,3.92,
2009-02-23,9.46,10.07,9.23,9.93,9.55,0.379999999999999,3.98,8549984.0,39497734.2,2.103,0.045569,0.054643,0.76,778.5663,,3.4059,4.6089,4.7858,0.0,,311573901.0,187628098.0,156470708.0,1470628813.0,885604623.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.99,4.09,
2009-02-24,9.8,9.91,9.15,9.17,9.93,-0.7599999999999998,-7.65,9702418.0,43681007.0,2.103,0.051711,0.062008,0.93,719.1841,,3.1461,4.2574,4.4208,0.0,,311573901.0,187628098.0,156470708.0,1358462208.0,818058507.0,医疗保健,医药生物,医疗服务,其他医疗服务,5.19,4.25,
2009-02-25,9.25,9.67,9.02,9.53,9.17,0.3599999999999994,3.93,7747171.000000001,34359218.1,2.103,0.0412899999999999,0.049512,0.9,747.2257,,3.2688,4.4234,4.5932,0.0,,311573901.0,187628098.0,156470708.0,1411429772.0,849955284.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.8,3.92,
2009-02-26,9.42,9.97,8.66,8.94,9.53,-0.5899999999999999,-6.19,13732909.0,63038343.1,2.103,0.073192,0.087767,1.75,701.0395,,3.0667,4.1499,4.3093,0.0,,311573901.0,187628098.0,156470708.0,1324189079.0,797419417.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.98,4.08,
2009-02-27,8.73,8.96,8.05,8.05,8.94,-0.8899999999999988,-9.96,9205878.0,36216502.8,2.103,0.0490639999999999,0.058835,1.01,631.7603,,2.7637,3.7398,3.8834,0.0,,311573901.0,187628098.0,156470708.0,1193328041.0,718615615.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.68,3.83,
2009-03-02,7.99,8.33,7.8,8.24,8.05,0.1899999999999995,2.36,3902863.0,15184739.8,2.103,0.020801,0.024943,0.4,646.6059,,2.8286,3.8277,3.9747,0.0,,311573901.0,187628098.0,156470708.0,1221369692.0,735502144.0,医疗保健,医药生物,医疗服务,其他医疗服务,4.21,3.45,
