date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2013-02-08,21.44,21.44,14.93,14.93,9.76,5.17,52.97,16498251.0,119065360.7,2.68,0.0376779999999999,0.046958,1.76,13354.8942,26.9988,3.0587,,0.9523,0.0,,1120139063.0,437871455.0,351341588.0,6239174581.0,2438944004.0,建筑工程,建筑装饰,基础建设,基建市政工程,4.0,3.28,
2013-02-18,14.18,14.18,14.18,14.18,14.93,-0.75,-5.02,2675800.0,14154982.0,2.68,0.006111,0.007616,0.25,12683.553,25.6415,2.9049,,0.9044,0.0,,1120139063.0,437871455.0,351341588.0,5925535643.0,2316339997.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.85,5.29,
2013-02-19,13.48,14.87,13.48,14.87,14.18,0.6899999999999995,4.87,30919847.0,164262836.4,2.68,0.070264,0.087463,3.28,13306.9412,26.9018,3.0477,,0.9489,0.0,,1120139063.0,440049788.0,353519921.00000006,6216771800.000001,2442276323.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.55,5.03,
2013-02-20,14.2,14.63,14.2,14.42,14.87,-0.4499999999999993,-3.03,16807626.0,90431684.9,2.68,0.038195,0.047544,1.19,12899.3412,26.0778,2.9543,,0.9198,0.0,,1120139063.0,440049788.0,353519921.00000006,6026348159.0,2367467859.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.83,5.27,
2013-02-21,14.42,15.09,14.28,14.69,14.42,0.2699999999999996,1.87,13410482.999999998,73581867.3,2.68,0.030475,0.037934,0.83,13139.1059,26.5625,3.0092,,0.9369,0.0,,1120139063.0,440049788.0,353519921.00000006,6138362065.0,2411472838.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.65,5.11,
2013-02-22,14.53,14.74,14.26,14.39,14.69,-0.2999999999999989,-2.04,8857235.0,47654145.3,2.68,0.020128,0.025054,0.55,12875.3648,26.0293,2.9488,,0.9181,0.0,,1120139063.0,440049788.0,353519921.00000006,6015146768.0,2363067362.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.75,5.21,
2013-02-25,14.34,14.5,13.67,13.8,14.39,-0.5899999999999999,-4.1,11695477.0,60784491.1,2.68,0.026578,0.033083,0.8,12347.8824,24.9629,2.828,,0.8805,0.0,,1120139063.0,440049788.0,353519921.00000006,5768716174.0,2266256408.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.64,5.1,
2013-02-26,13.72,14.23,13.69,13.83,13.8,0.0299999999999993,0.22,9581274.0,49871454.7,2.68,0.0217729999999999,0.027103,0.59,12371.8589,25.0114,2.8335,,0.8822,0.0,,1120139063.0,440049788.0,353519921.00000006,5779917565.0,2270656906.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.41,4.89,
2013-02-27,13.75,14.53,13.72,14.53,13.83,0.6999999999999993,5.06,19774599.0,106260244.1,2.68,0.044937,0.055936,1.64,12995.2471,26.2717,2.9763,,0.9267,0.0,,1120139063.0,440049788.0,353519921.00000006,6071153721.0,2385069851.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.42,4.9,
2013-02-28,14.47,15.25,14.39,15.25,14.53,0.7200000000000006,4.96,24702529.0,137754763.10000002,2.68,0.056136,0.069876,1.95,13642.6118,27.5804,3.1246,,0.9728,0.0,,1120139063.0,440049788.0,353519921.00000006,6373591268.0,2503883294.0,建筑工程,建筑装饰,基础建设,基建市政工程,5.69,5.15,
