date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,7.21,7.4,7.06,7.4,7.17,0.2300000000000004,3.21,1172716.0,4541971.8,1.883,0.024426,0.0244329999999999,0.64,70.3153,79.2784,5.5649,0.8735,1.1383,0.0,,220281600.0,48011040.0,47997740.0,865706688.0,188683387.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.19,3.43,
2009-01-06,7.4,7.72,7.21,7.63,7.4,0.2299999999999995,3.11,1440985.0,5751731.5,1.883,0.030014,0.030022,0.92,72.4623,81.6991,5.7348,0.9002,1.173,0.0,,220281600.0,48011040.0,47997740.0,892140480.0,194444712.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.32,3.54,
2009-01-07,7.63,7.72,7.44,7.64,7.63,0.0099999999999997,0.13,1521154.0,6118038.0,1.883,0.0316829999999999,0.031692,1.29,72.6412,81.9008,5.749,0.9024,1.1759,0.0,,220281600.0,48011040.0,47997740.0,894343296.0,194924822.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.46,3.65,
2009-01-08,7.44,7.59,7.21,7.29,7.64,-0.3499999999999996,-4.58,1253380.0,4909888.7,1.883,0.0261059999999999,0.026113,1.05,69.2417,78.068,5.48,0.8602,1.1209,0.0,,220281600.0,48011040.0,47997740.0,852489792.0,185802725.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.47,3.65,
2009-01-09,7.21,7.48,7.21,7.48,7.29,0.1900000000000004,2.61,685288.0,2696262.6,1.883,0.014274,0.0142779999999999,0.55,71.0309,80.0853,5.6216,0.8824,1.1498,0.0,,220281600.0,48011040.0,47997740.0,874517951.9999999,190603829.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.26,3.48,
2009-01-12,7.48,7.76,7.46,7.7,7.48,0.2199999999999997,2.94,1647189.0,6699955.7,1.883,0.034309,0.034318,1.36,73.178,82.506,5.7915,0.9091,1.1846,0.0,,220281600.0,48011040.0,47997740.0,900951744.0,196365154.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.37,3.57,
2009-01-13,7.57,8.44,7.57,7.91,7.7,0.2099999999999999,2.73,6019335.0,25755470.4,1.883,0.1253739999999999,0.125409,4.6,75.1461,84.725,5.9472,0.9336,1.2165,0.0,,220281600.0,48011040.0,47997740.0,925182720.0,201646368.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.5,3.68,
2009-01-14,7.83,8.1,7.68,8.02,7.91,0.1099999999999994,1.39,2762050.0,11622133.6,1.883,0.057529,0.057545,1.24,76.2196,85.9353,6.0322,0.9469,1.2338,0.0,,220281600.0,48011040.0,47997740.0,938399616.0,204527030.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.62,3.78,
2009-01-15,7.93,8.1,7.83,7.98,8.02,-0.0399999999999991,-0.5,2417848.0,10215299.7,1.883,0.0503599999999999,0.050374,0.98,75.8618,85.5319,6.0039,0.9424,1.228,0.0,,220281600.0,48011040.0,47997740.0,933993984.0,203566810.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.69,3.83,
2009-01-16,7.87,8.23,7.87,7.98,7.98,0.0,0.0,2060471.0,8829108.6,1.883,0.042917,0.042929,0.76,75.8618,85.5319,6.0039,0.9424,1.228,0.0,,220281600.0,48011040.0,47997740.0,933993984.0,203566810.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.66,3.82,
2009-01-19,7.89,8.08,7.63,7.74,7.98,-0.2400000000000002,-3.01,1957641.0,8137247.0,1.883,0.040775,0.0407859999999999,0.66,73.5358,82.9094,5.8198,0.9135,1.1904,0.0,,220281600.0,48011040.0,47997740.0,905357376.0,197325374.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.66,3.82,
2009-01-20,7.83,7.89,7.7,7.85,7.74,0.1099999999999994,1.42,679185.0,2807384.0,1.883,0.003788,0.01415,0.22,74.6093,84.1198,5.9048,0.9269,1.2078,0.0,,220281600.0,179294544.0,47997740.0,918574272.0,747658248.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.52,3.7,
2009-01-21,7.8,7.83,7.64,7.68,7.85,-0.1699999999999999,-2.17,887340.0,3639569.8,1.883,0.004949,0.018487,0.45,72.999,82.3043,5.7773,0.9069,1.1817,0.0,,220281600.0,179294544.0,47997740.0,898748928.0,731521740.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.59,3.75,
2009-01-22,7.7,7.83,7.68,7.8,7.68,0.1200000000000001,1.56,789162.0,3247332.7,1.883,0.0044009999999999,0.016442,0.49,74.0726,83.5146,5.8623,0.9202,1.1991,0.0,,220281600.0,179294544.0,47997740.0,911965824.0,742279412.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.49,3.67,
2009-01-23,7.83,7.89,7.74,7.78,7.8,-0.0199999999999995,-0.26,790766.0,3292639.5,1.883,0.00441,0.016475,0.62,73.8936,83.3129,5.8481,0.918,1.1962,0.0,,220281600.0,179294544.0,47997740.0,909763008.0,740486467.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.55,3.73,
2009-02-02,7.72,8.0,7.72,7.98,7.78,0.2000000000000001,2.57,1376426.0,5776128.0,1.883,0.007677,0.028677,1.35,75.8618,85.5319,6.0039,0.9424,1.228,0.0,,220281600.0,179294544.0,47997740.0,933993984.0,760208867.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.54,3.72,
2009-02-03,7.93,8.29,7.93,8.19,7.98,0.209999999999999,2.63,2350691.0,10124498.7,1.883,0.013111,0.048975,2.6,77.8299,87.7509,6.1596,0.9669,1.2599,0.0,,220281600.0,179294544.0,47997740.0,958224960.0,779931266.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.66,3.82,
2009-02-04,8.19,8.36,8.13,8.32,8.19,0.1300000000000007,1.59,2519539.0,11020993.8,1.883,0.014053,0.052493,2.03,79.0823,89.163,6.2588,0.9825,1.2802,0.0,,220281600.0,179294544.0,47997740.0,973644672.0,792481884.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.79,3.92,
2009-02-05,8.38,8.44,8.15,8.27,8.32,-0.0500000000000007,-0.6,3083229.0,13565512.4,1.883,0.017196,0.064237,1.97,78.5455,88.5578,6.2163,0.9758,1.2715,0.0,,220281600.0,179294544.0,47997740.0,967036224.0,787103048.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.86,3.98,
2009-02-06,8.21,8.66,8.21,8.61,8.27,0.3399999999999998,4.11,3031656.0,13701406.9,1.883,0.016909,0.063162,1.5,81.7661,92.1888,6.4712,1.0158,1.3236,0.0,,220281600.0,179294544.0,47997740.0,1006686912.0,819376066.0,综合类,综合,综合Ⅱ,综合Ⅲ,4.83,3.95,
