date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,14.07,14.28,13.93,14.28,13.86,0.4199999999999999,3.03,8094914.999999999,16416253.9,6.967,0.0104879999999999,0.010539,0.83,,,1.7628,0.2808,0.8148,0.0,,1123887712.0,771838411.0,768120937.0,2303969810.0,1582268743.0,全国地产,房地产,房地产开发,住宅开发,2.19,1.79,
2009-01-06,14.28,14.7,14.14,14.7,14.28,0.4199999999999999,2.94,10935244.0,22676945.3,6.967,0.014168,0.014236,1.21,,,1.8143,0.289,0.8386,0.0,,1123887712.0,771838411.0,768120937.0,2371403072.0,1628579047.0000002,全国地产,房地产,房地产开发,住宅开发,2.26,1.85,
2009-01-07,14.7,14.77,14.49,14.63,14.7,-0.0699999999999985,-0.48,12008032.0,25214189.9,6.967,0.015558,0.0156329999999999,1.25,,,1.8057,0.2876,0.8347,0.0,,1123887712.0,771838411.0,768120937.0,2360164195.0,1620860663.0,全国地产,房地产,房地产开发,住宅开发,2.32,1.9,
2009-01-08,14.42,14.42,14.0,14.14,14.63,-0.4900000000000002,-3.35,9386233.0,19083583.8,6.967,0.012161,0.01222,1.0,,,1.7456,0.2781,0.8068,0.0,,1123887712.0,771838411.0,768120937.0,2281492055.0,1566831974.0,全国地产,房地产,房地产开发,住宅开发,2.31,1.89,
2009-01-09,14.0,14.49,14.0,14.35,14.14,0.209999999999999,1.49,10447731.0,21373020.5,6.967,0.013536,0.013602,1.06,,,1.7714,0.2822,0.8188,0.0,,1123887712.0,771838411.0,768120937.0,2315208687.0,1589987127.0,全国地产,房地产,房地产开发,住宅开发,2.23,1.83,
2009-01-12,14.21,14.56,14.14,14.42,14.35,0.0700000000000002,0.49,12287391.0,25295161.8,6.967,0.01592,0.0159969999999999,1.21,,,1.78,0.2835,0.8227,0.0,,1123887712.0,771838411.0,768120937.0,2326447564.0,1597705511.0,全国地产,房地产,房地产开发,住宅开发,2.27,1.85,
2009-01-13,14.28,14.28,14.0,14.14,14.42,-0.2799999999999993,-1.94,8206097.0,16689253.400000002,6.967,0.0106319999999999,0.010683,0.75,,,1.7456,0.2781,0.8068,0.0,,1123887712.0,771838411.0,768120937.0,2281492055.0,1566831974.0,全国地产,房地产,房地产开发,住宅开发,2.28,1.86,
2009-01-14,14.07,14.49,14.0,14.49,14.14,0.3499999999999996,2.48,12385800.0,25435064.5,6.967,0.016047,0.016125,1.18,,,1.7886,0.2849,0.8267,0.0,,1123887712.0,771838411.0,768120937.0,2337686441.0,1605423895.0,全国地产,房地产,房地产开发,住宅开发,2.23,1.83,
2009-01-15,14.35,14.77,14.28,14.56,14.49,0.0700000000000002,0.48,14023419.0,29123228.0,6.967,0.018169,0.018257,1.33,,,1.7971,0.2863,0.8307,0.0,,1123887712.0,771838411.0,768120937.0,2348925318.0,1613142279.0,全国地产,房地产,房地产开发,住宅开发,2.29,1.87,
2009-01-16,14.56,14.98,14.49,14.77,14.56,0.209999999999999,1.44,17638879.0,37432561.3,6.967,0.022853,0.022964,1.54,,,1.8229,0.2904,0.8426,0.0,,1123887712.0,771838411.0,768120937.0,2382641949.0,1636297431.0,全国地产,房地产,房地产开发,住宅开发,2.3,1.88,
2009-01-19,14.7,14.91,14.42,14.63,14.77,-0.1399999999999988,-0.95,10072620.0,21251961.9,6.967,0.0130499999999999,0.013113,0.78,,,1.8057,0.2876,0.8347,0.0,,1123887712.0,771838411.0,768120937.0,2360164195.0,1620860663.0,全国地产,房地产,房地产开发,住宅开发,2.33,1.91,
2009-01-20,14.63,14.63,14.28,14.63,14.63,0.0,0.0,7406287.0,15366740.0,6.967,0.009596,0.009642,0.59,,,1.8057,0.2876,0.8347,0.0,,1123887712.0,771838411.0,768120937.0,2360164195.0,1620860663.0,全国地产,房地产,房地产开发,住宅开发,2.31,1.89,
2009-01-21,14.28,14.84,14.28,14.7,14.63,0.0699999999999985,0.48,10051861.0,21132753.8,6.967,0.013023,0.013086,0.82,,,1.8143,0.289,0.8386,0.0,,1123887712.0,771838411.0,768120937.0,2371403072.0,1628579047.0000002,全国地产,房地产,房地产开发,住宅开发,2.31,1.89,
2009-01-22,14.7,14.7,14.49,14.63,14.7,-0.0699999999999985,-0.48,13281466.0,27840708.4,6.967,0.017208,0.017291,1.12,,,1.8057,0.2876,0.8347,0.0,,1123887712.0,771838411.0,768120937.0,2360164195.0,1620860663.0,全国地产,房地产,房地产开发,住宅开发,2.32,1.9,
2009-01-23,14.7,15.54,14.49,15.26,14.63,0.629999999999999,4.31,24540635.0,52638958.3,6.967,0.031795,0.031949,2.1,,,1.8831,0.3,0.8704,0.0,,1123887712.0,771838411.0,768120937.0,2461314089.0,1690326120.0,全国地产,房地产,房地产开发,住宅开发,2.31,1.89,
2009-02-02,15.12,16.02,15.05,15.88,15.26,0.620000000000001,4.06,29274802.0,65979442.6,6.967,0.037929,0.038112,2.24,,,1.9605,0.3123,0.9062,0.0,,1123887712.0,771838411.0,768120937.0,2562463983.0,1759791577.0,全国地产,房地产,房地产开发,住宅开发,2.41,1.97,
2009-02-03,16.09,16.37,15.88,16.09,15.88,0.209999999999999,1.32,33451885.0,77415076.7,6.967,0.043341,0.04355,1.98,,,1.9863,0.3164,0.9181,0.0,,1123887712.0,771838411.0,768120937.0,2596180615.0,1782946729.0,全国地产,房地产,房地产开发,住宅开发,2.51,2.05,
2009-02-04,16.16,16.79,16.09,16.79,16.09,0.6999999999999993,4.35,33769163.0,79490406.5,6.967,0.043752,0.043963,1.53,,,2.0723,0.3301,0.9579,0.0,,1123887712.0,771838411.0,768120937.0,2708569386.0,1860130571.0,全国地产,房地产,房地产开发,住宅开发,2.54,2.08,
2009-02-05,16.86,16.86,15.95,16.16,16.79,-0.629999999999999,-3.75,34341168.0,81287984.2,6.967,0.044493,0.044708,1.28,,,1.9949,0.3178,0.9221,0.0,,1123887712.0,771838411.0,768120937.0,2607419492.0,1790665114.0,全国地产,房地产,房地产开发,住宅开发,2.65,2.17,
2009-02-06,16.16,17.77,16.09,17.49,16.16,1.3299999999999983,8.23,51300175.0,125858887.3,6.967,0.066465,0.066787,1.65,,,2.1583,0.3438,0.9976,0.0,,1123887712.0,771838411.0,768120937.0,2820958157.0,1937314412.0,全国地产,房地产,房地产开发,住宅开发,2.55,2.09,
2009-02-09,17.56,18.04,17.14,17.84,17.49,0.3500000000000014,2.0,48883183.0,123485409.4,6.967,0.063333,0.06364,1.34,,,2.2013,0.3507,1.0175,0.0,,1123887712.0,771838411.0,768120937.0,2877152542.9999995,1975906332.0,全国地产,房地产,房地产开发,住宅开发,2.76,2.26,
2009-02-10,17.56,18.81,17.35,18.81,17.84,0.9699999999999988,5.44,47961509.0,124436933.7,6.967,0.062139,0.0624399999999999,1.19,,,2.3217,0.3698,1.0731,0.0,,1123887712.0,771838411.0,768120937.0,3034496822.0,2083963710.0,全国地产,房地产,房地产开发,住宅开发,2.82,2.3,
2009-02-11,18.46,19.72,18.11,18.88,18.81,0.0700000000000002,0.37,50623713.0,138323011.5,6.967,0.065588,0.065906,1.17,,,2.3303,0.3712,1.0771,0.0,,1123887712.0,771838411.0,768120937.0,3045735700.0,2091682094.0,全国地产,房地产,房地产开发,住宅开发,2.97,2.43,
2009-02-12,18.88,19.02,17.77,18.74,18.88,-0.1400000000000005,-0.74,34062767.0,90502925.2,6.967,0.044132,0.044346,0.73,,,2.3131,0.3685,1.0692,0.0,,1123887712.0,771838411.0,768120937.0,3023257945.0,2076245326.0,全国地产,房地产,房地产开发,住宅开发,2.98,2.44,
2009-02-13,18.81,20.62,18.67,20.62,18.74,1.8800000000000023,10.03,61992906.00000001,176471347.4,6.967,0.080319,0.080707,1.33,,,2.5452,0.4054,1.1765,0.0,,1123887712.0,771838411.0,768120937.0,3326707628.0000005,2284641697.0,全国地产,房地产,房地产开发,住宅开发,2.96,2.42,
2009-02-16,21.74,22.71,21.04,22.71,20.62,2.09,10.14,86059321.0,272895303.7,6.967,0.111499,0.112039,1.77,,,2.8032,0.4465,1.2957,0.0,,1123887712.0,771838411.0,768120937.0,3663873941.0,2516193220.0,全国地产,房地产,房地产开发,住宅开发,3.26,2.66,
2009-02-17,22.99,22.99,21.53,21.53,22.71,-1.1799999999999995,-5.2,55813267.00000001,177366052.8,6.967,0.072312,0.072662,0.99,,,2.657,0.4232,1.2281,0.0,,1123887712.0,771838411.0,768120937.0,3472813030.0,2384980690.0,全国地产,房地产,房地产开发,住宅开发,3.59,2.93,
2009-02-18,20.9,21.32,19.51,19.58,21.53,-1.9500000000000028,-9.06,45342792.0,133032888.4,6.967,0.058746,0.059031,0.79,,,2.4163,0.3849,1.1169,0.0,,1123887712.0,771838411.0,768120937.0,3158124471.0,2168865935.0,全国地产,房地产,房地产开发,住宅开发,3.4,2.78,
