date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,14.63,15.08,14.55,15.0,14.47,0.5299999999999994,3.66,402726.0,1463987.6,4.064,0.005728,0.006588,0.57,,,4.4847,7.6608,6.7824,0.0,,83976684.0,70307411.0,61133432.0,309873964.0,259434347.00000003,软件服务,计算机,软件开发,横向通用软件,3.74,3.38,
2009-01-06,14.96,15.48,14.79,15.44,15.0,0.4399999999999995,2.93,815691.0,3075169.0,4.064,0.011602,0.013343,1.22,,,4.6184,7.8891,6.9846,0.0,,83976684.0,70307411.0,61133432.0,319111399.0,267168162.0,软件服务,计算机,软件开发,横向通用软件,3.87,3.51,
2009-01-07,15.32,16.22,15.28,16.22,15.44,0.7799999999999994,5.05,1290360.0,5053011.0,4.064,0.0183529999999999,0.021107,1.86,,,4.8493,8.2836,7.3338,0.0,,83976684.0,70307411.0,61133432.0,335066969.0,280526570.0,软件服务,计算机,软件开发,横向通用软件,3.99,3.61,
2009-01-08,16.22,17.03,15.93,17.03,16.22,0.8100000000000023,4.99,2269224.0,9399869.4,4.064,0.032276,0.037119,2.89,,,5.0924,8.6988,7.7014,0.0,,83976684.0,70307411.0,61133432.0,351862306.0,294588052.0,软件服务,计算机,软件开发,横向通用软件,4.19,3.79,
2009-01-09,17.07,17.88,16.66,17.68,17.03,0.6499999999999986,3.82,1190061.0,4964634.3,4.064,0.016927,0.019467,1.16,,,5.2869,9.031,7.9955,0.0,,83976684.0,70307411.0,61133432.0,365298575.0,305837238.0,软件服务,计算机,软件开发,横向通用软件,4.4,3.98,
2009-01-12,17.35,17.8,16.95,17.31,17.68,-0.370000000000001,-2.09,924084.0,3936016.7,4.064,0.013143,0.015116,0.77,,,5.1775,8.8441,7.8301,0.0,,83976684.0,70307411.0,61133432.0,357740674.0,299509571.0,软件服务,计算机,软件开发,横向通用软件,4.57,4.13,
2009-01-13,16.91,17.43,16.46,16.46,17.31,-0.8499999999999979,-4.91,892670.0000000001,3679580.2,4.064,0.012697,0.0146019999999999,0.69,,,4.9222,8.4081,7.4441,0.0,,83976684.0,70307411.0,61133432.0,340105570.0,284745015.0,软件服务,计算机,软件开发,横向通用软件,4.47,4.05,
2009-01-14,16.26,16.78,15.89,16.66,16.46,0.1999999999999993,1.22,494520.0,2001147.1,4.064,0.007034,0.0080889999999999,0.38,,,4.983,8.5119,7.536,0.0,,83976684.0,70307411.0,61133432.0,344304404.0,288260385.0,软件服务,计算机,软件开发,横向通用软件,4.25,3.85,
2009-01-15,16.46,16.91,16.38,16.58,16.66,-0.0800000000000018,-0.48,555408.0,2279806.8,4.064,0.0079,0.009085,0.48,,,4.9587,8.4704,7.4993,0.0,,83976684.0,70307411.0,61133432.0,342624871.0,286854237.0,软件服务,计算机,软件开发,横向通用软件,4.31,3.9,
2009-01-16,16.7,16.95,16.42,16.66,16.58,0.0800000000000018,0.48,418245.0,1725993.9,4.064,0.0059489999999999,0.006842,0.52,,,4.983,8.5119,7.536,0.0,,83976684.0,70307411.0,61133432.0,344304404.0,288260385.0,软件服务,计算机,软件开发,横向通用软件,4.28,3.88,
2009-01-19,16.91,17.48,16.54,16.66,16.66,0.0,0.0,365021.0,1518862.3,4.064,0.005192,0.005971,0.56,,,4.983,8.5119,7.536,0.0,,83976684.0,70307411.0,61133432.0,344304404.0,288260385.0,软件服务,计算机,软件开发,横向通用软件,4.31,3.9,
2009-01-20,16.26,16.78,16.09,16.74,16.66,0.0799999999999983,0.48,329452.0,1342311.1,4.064,0.004686,0.005389,0.6,,,5.0073,8.5535,7.5728,0.0,,83976684.0,70307411.0,61133432.0,345983938.0,289666533.0,软件服务,计算机,软件开发,横向通用软件,4.31,3.9,
2009-01-21,16.26,16.91,16.26,16.82,16.74,0.0800000000000018,0.48,409791.0,1676793.9,4.064,0.005829,0.006703,0.95,,,5.0316,8.595,7.6095,0.0,,83976684.0,70307411.0,61133432.0,347663471.99999994,291072682.0,软件服务,计算机,软件开发,横向通用软件,4.33,3.91,
2009-01-22,16.91,17.48,16.58,17.07,16.82,0.25,1.49,557018.0,2322781.4,4.064,0.007923,0.009112,1.34,,,5.1046,8.7196,7.7198,0.0,,83976684.0,70307411.0,61133432.0,352702073.0,295291126.0,软件服务,计算机,软件开发,横向通用软件,4.35,3.93,
2009-01-23,17.11,17.6,16.78,17.11,17.07,0.0399999999999991,0.23,635650.0,2691678.6,4.064,0.009041,0.010398,1.53,,,5.1167,8.7403,7.7382,0.0,,83976684.0,70307411.0,61133432.0,353541840.0,295994200.0,软件服务,计算机,软件开发,横向通用软件,4.41,3.99,
2009-02-02,17.48,17.68,17.07,17.48,17.11,0.370000000000001,2.16,1165555.0,4999782.4,4.064,0.016578,0.019066,2.54,,,5.2261,8.9272,7.9036,0.0,,83976684.0,70307411.0,61133432.0,361099741.0,302321867.0,软件服务,计算机,软件开发,横向通用软件,4.42,4.0,
2009-02-03,17.52,18.37,17.39,18.29,17.48,0.8099999999999987,4.63,2031492.0,8988675.1,4.064,0.028894,0.03323,3.28,,,5.4692,9.3424,8.2712,0.0,,83976684.0,70307411.0,61133432.0,377895078.0,316383350.0,软件服务,计算机,软件开发,横向通用软件,4.52,4.09,
2009-02-04,18.13,18.78,17.88,18.61,18.29,0.3200000000000003,1.75,1217246.0,5502306.2,4.064,0.017313,0.019911,1.27,,,5.5664,9.5085,8.4183,0.0,,83976684.0,70307411.0,61133432.0,384613213.00000006,322007942.0,软件服务,计算机,软件开发,横向通用软件,4.73,4.28,
2009-02-05,18.65,18.78,17.68,17.84,18.61,-0.7699999999999996,-4.14,1801513.0,8024545.0,4.064,0.025623,0.029469,1.61,,,5.3355,9.114,8.069,0.0,,83976684.0,70307411.0,61133432.0,368657643.0,308649534.0,软件服务,计算机,软件开发,横向通用软件,4.81,4.35,
2009-02-06,17.76,18.25,17.48,18.25,17.84,0.4100000000000001,2.3,1604263.0,7088278.5,4.064,0.022818,0.026242,1.17,,,5.457,9.3216,8.2529,0.0,,83976684.0,70307411.0,61133432.0,377055311.0,315680275.0,软件服务,计算机,软件开发,横向通用软件,4.61,4.17,
2009-02-09,18.41,18.49,18.17,18.37,18.25,0.120000000000001,0.66,2115182.0,9522538.1,4.064,0.030085,0.034599,1.35,,,5.4935,9.3839,8.308,0.0,,83976684.0,70307411.0,61133432.0,379574612.0,317789498.0,软件服务,计算机,软件开发,横向通用软件,4.71,4.27,
2009-02-10,18.37,19.06,18.17,18.9,18.37,0.5299999999999976,2.89,1697886.0,7725036.100000001,4.064,0.0241489999999999,0.027773,0.97,,,5.6515,9.6538,8.5469,0.0,,83976684.0,70307411.0,61133432.0,390491581.0,326929461.0,软件服务,计算机,软件开发,横向通用软件,4.75,4.29,
